lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.87,0.86,0.92,0.91,0.87,0.83,0.90,0.87,0.87,0.90,0.86,0.80,
French,1,plurality,True,2,RF,0.92,0.91,0.92,0.95,0.96,0.96,0.93,0.93,0.90,0.94,0.94,0.93,
French,1,plurality,True,3,NN,0.92,0.94,0.95,0.93,0.97,0.96,0.93,0.93,0.93,0.96,0.94,0.95,
French,1,plurality,False,1,DT,0.89,0.88,0.89,0.87,0.85,0.82,0.89,0.91,0.90,0.88,0.87,0.82,
French,1,plurality,False,2,RF,0.91,0.90,0.92,0.94,0.95,0.96,0.91,0.94,0.89,0.95,0.93,0.93,
French,1,plurality,False,3,NN,0.94,0.92,0.95,0.94,0.97,0.96,0.93,0.93,0.92,0.95,0.96,0.93,
French,2,gender,True,1,DT,0.75,0.74,0.75,0.71,0.73,0.65,0.71,0.74,0.73,0.69,0.71,0.68,
French,2,gender,True,2,RF,0.86,0.80,0.80,0.80,0.84,0.80,0.83,0.77,0.81,0.82,0.80,0.79,
French,2,gender,True,3,NN,0.83,0.80,0.83,0.79,0.82,0.79,0.82,0.76,0.76,0.79,0.79,0.79,
French,2,gender,False,1,DT,0.73,0.66,0.71,0.65,0.71,0.68,0.72,0.75,0.76,0.70,0.71,0.70,
French,2,gender,False,2,RF,0.84,0.80,0.80,0.80,0.84,0.80,0.77,0.75,0.81,0.80,0.80,0.77,
French,2,gender,False,3,NN,0.84,0.76,0.82,0.82,0.79,0.79,0.83,0.76,0.76,0.80,0.78,0.79,
