lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Irish,1,plurality,True,3,NN,0.70,0.67,0.69,0.69,0.71,0.68,0.72,0.68,0.69,0.68,0.66,0.66,
Irish,1,plurality,False,1,DT,0.70,0.69,0.70,0.65,0.65,0.66,0.66,0.68,0.66,0.62,0.66,0.63,
Irish,1,plurality,False,3,NN,0.63,0.63,0.63,0.63,0.66,0.65,0.64,0.61,0.61,0.67,0.65,0.67,
Irish,1,plurality,True,2,RF,0.75,0.76,0.73,0.70,0.70,0.70,0.76,0.72,0.71,0.69,0.66,0.71,
Irish,1,plurality,False,2,RF,0.71,0.71,0.70,0.66,0.69,0.67,0.72,0.70,0.69,0.65,0.67,0.67,
Irish,1,plurality,True,1,DT,0.71,0.70,0.70,0.68,0.64,0.67,0.71,0.69,0.73,0.71,0.65,0.64,
Irish,2,gender,False,3,NN,0.73,0.76,0.73,0.77,0.69,0.76,0.65,0.72,0.73,0.71,0.69,0.73,
Irish,2,gender,False,2,RF,0.73,0.73,0.75,0.74,0.72,0.74,0.67,0.77,0.78,0.74,0.71,0.69,
Irish,2,gender,True,1,DT,0.75,0.76,0.81,0.74,0.68,0.70,0.74,0.80,0.79,0.73,0.71,0.65,
Irish,2,gender,True,3,NN,0.77,0.78,0.79,0.76,0.74,0.76,0.73,0.81,0.79,0.74,0.72,0.75,
Irish,2,gender,True,2,RF,0.82,0.82,0.79,0.77,0.77,0.73,0.79,0.82,0.84,0.78,0.74,0.74,
Irish,2,gender,False,1,DT,0.68,0.71,0.71,0.73,0.67,0.69,0.68,0.72,0.74,0.68,0.67,0.70,
Irish,3,case,False,2,RF,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98,
Irish,3,case,True,2,RF,0.96,0.94,0.95,0.97,0.95,0.97,0.96,0.97,0.95,0.96,0.97,0.98,
Irish,3,case,False,1,DT,0.95,0.94,0.95,0.97,0.95,0.97,0.97,0.96,0.94,0.96,0.96,0.97,
Irish,3,case,True,1,DT,0.96,0.94,0.95,0.97,0.94,0.97,0.98,0.97,0.94,0.96,0.96,0.96,
Irish,3,case,True,3,NN,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98,
Irish,3,case,False,3,NN,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98,
