lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Irish,1,plurality,True,2,RF,0.68,0.71,0.69,0.66,0.59,0.66,0.68,0.66,0.63,0.72,0.68,0.63,
Irish,1,plurality,True,3,NN,0.54,0.69,0.68,0.64,0.61,0.63,0.61,0.60,0.57,0.68,0.67,0.59,
Irish,1,plurality,True,1,DT,0.68,0.66,0.68,0.62,0.54,0.61,0.68,0.63,0.56,0.65,0.65,0.63,
Irish,1,plurality,False,2,RF,0.62,0.67,0.66,0.65,0.57,0.65,0.66,0.66,0.62,0.72,0.68,0.62,
Irish,1,plurality,False,3,NN,0.51,0.64,0.63,0.64,0.54,0.63,0.60,0.53,0.51,0.63,0.66,0.57,
Irish,1,plurality,False,1,DT,0.64,0.65,0.63,0.62,0.56,0.66,0.69,0.64,0.58,0.63,0.62,0.62,
Irish,2,gender,True,3,NN,0.75,0.72,0.76,0.71,0.68,0.70,0.68,0.84,0.67,0.71,0.77,0.71,
Irish,2,gender,False,2,RF,0.69,0.77,0.73,0.74,0.69,0.68,0.64,0.76,0.65,0.74,0.72,0.75,
Irish,2,gender,False,1,DT,0.63,0.64,0.63,0.66,0.66,0.67,0.64,0.76,0.63,0.69,0.66,0.69,
Irish,2,gender,False,3,NN,0.71,0.69,0.66,0.69,0.73,0.65,0.76,0.70,0.61,0.71,0.77,0.70,
Irish,2,gender,True,1,DT,0.76,0.70,0.75,0.73,0.65,0.70,0.77,0.71,0.58,0.71,0.70,0.73,
Irish,2,gender,True,2,RF,0.77,0.80,0.75,0.78,0.69,0.71,0.71,0.82,0.69,0.76,0.71,0.73,
Irish,3,case,True,1,DT,0.93,0.94,0.96,0.95,0.96,0.98,0.97,0.97,0.97,0.96,0.96,0.95,
Irish,3,case,True,3,NN,0.94,0.93,0.96,0.99,0.97,0.99,0.97,0.97,0.97,0.97,0.96,0.95,
Irish,3,case,False,2,RF,0.94,0.93,0.96,0.99,0.97,0.99,0.96,0.97,0.97,0.97,0.96,0.95,
Irish,3,case,True,2,RF,0.94,0.93,0.96,0.99,0.97,0.99,0.97,0.97,0.97,0.97,0.96,0.95,
Irish,3,case,False,1,DT,0.92,0.93,0.96,0.96,0.96,0.99,0.97,0.97,0.97,0.97,0.96,0.95,
Irish,3,case,False,3,NN,0.94,0.93,0.96,0.99,0.97,0.99,0.97,0.97,0.97,0.97,0.96,0.95,
