lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.89,0.85,0.79,0.82,0.86,0.75,0.86,0.85,0.83,0.83,0.82,0.74,
Czech,1,plurality,False,3,NN,0.76,0.84,0.72,0.82,0.78,0.83,0.73,0.72,0.73,0.77,0.88,0.78,
Czech,1,plurality,False,1,DT,0.82,0.82,0.78,0.75,0.87,0.78,0.82,0.84,0.79,0.82,0.80,0.79,
Czech,1,plurality,True,2,RF,0.89,0.92,0.88,0.80,0.85,0.85,0.86,0.90,0.87,0.88,0.85,0.78,
Czech,1,plurality,False,2,RF,0.86,0.88,0.78,0.80,0.84,0.84,0.80,0.82,0.74,0.88,0.84,0.81,
Czech,1,plurality,True,3,NN,0.87,0.82,0.74,0.81,0.82,0.81,0.81,0.73,0.78,0.83,0.87,0.77,
Czech,2,gender,False,1,DT,0.45,0.43,0.48,0.49,0.42,0.40,0.50,0.45,0.54,0.39,0.43,0.49,
Czech,2,gender,False,2,RF,0.57,0.52,0.59,0.63,0.53,0.60,0.63,0.56,0.58,0.53,0.60,0.57,
Czech,2,gender,True,1,DT,0.42,0.49,0.40,0.44,0.55,0.47,0.54,0.52,0.56,0.44,0.38,0.42,
Czech,2,gender,True,2,RF,0.56,0.55,0.56,0.67,0.56,0.61,0.66,0.57,0.62,0.57,0.56,0.60,
Czech,2,gender,True,3,NN,0.58,0.56,0.51,0.62,0.65,0.57,0.60,0.53,0.58,0.62,0.60,0.56,
Czech,2,gender,False,3,NN,0.51,0.60,0.43,0.62,0.60,0.59,0.57,0.55,0.61,0.57,0.62,0.61,
Czech,3,case,False,1,DT,0.35,0.39,0.39,0.34,0.29,0.33,0.38,0.38,0.38,0.34,0.27,0.44,
Czech,3,case,True,1,DT,0.47,0.45,0.46,0.42,0.28,0.36,0.43,0.50,0.51,0.34,0.31,0.36,
Czech,3,case,True,3,NN,0.41,0.44,0.44,0.32,0.32,0.34,0.36,0.35,0.39,0.33,0.31,0.40,
Czech,3,case,True,2,RF,0.44,0.54,0.56,0.46,0.44,0.42,0.44,0.56,0.54,0.49,0.31,0.57,
Czech,3,case,False,3,NN,0.36,0.36,0.41,0.42,0.36,0.32,0.32,0.42,0.34,0.34,0.39,0.39,
Czech,3,case,False,2,RF,0.32,0.44,0.39,0.39,0.43,0.38,0.37,0.45,0.42,0.38,0.33,0.50,
